1430139659222 - info: 2015-04-27T13:00:59.217Z;subscribeManyRoots;5 ms
1430139659237 - info: 2015-04-27T13:00:59.235Z;subscribeManyRoots;2 ms
1430139659309 - info: 2015-04-27T13:00:59.309Z;readCompanyFile;13 ms
1430139659378 - info: 2015-04-27T13:00:59.378Z;deserialize;64 ms
1430139659430 - info: 2015-04-27T13:00:59.430Z;serialize;51 ms
1430139659431 - info: 2015-04-27T13:00:59.295Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"2f4150bb-7691-a13d-ce0c-c7d4eaee5a36","aparams":[["ab573a02-b888-b3b4-36a7-38629a5fe6b7"],{"rtype":"data","subDbGuid":"dd3a306e-2021-e181-3444-4b4270bd33ea"},null],"func":"loadNewRoots"};136 ms
1430139661845 - info: 2015-04-27T13:01:01.844Z;sendDelta;1 ms
1430139661849 - info: 2015-04-27T13:01:01.848Z;sendDelta;1 ms
1430139661871 - info: 2015-04-27T13:01:01.871Z;deserialize;18 ms
1430139661877 - info: 2015-04-27T13:01:01.877Z;serialize;5 ms
1430139661878 - info: 2015-04-27T13:01:01.843Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"2f4150bb-7691-a13d-ce0c-c7d4eaee5a36","aparams":[["b49d39c9-b903-cccd-7d32-b84beb1b76dc"],{"rtype":"data","expr":1,"subDbGuid":"dd3a306e-2021-e181-3444-4b4270bd33ea"},null],"func":"loadNewRoots"};35 ms
1430139661887 - info: 2015-04-27T13:01:01.886Z;deserialize;2 ms
1430139661892 - info: 2015-04-27T13:01:01.892Z;serialize;1 ms
1430139661893 - info: 2015-04-27T13:01:01.844Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"2f4150bb-7691-a13d-ce0c-c7d4eaee5a36","aparams":[["8583ee1d-6936-19da-5ef0-9025fb7d1d8d"],{"rtype":"data","expr":1,"subDbGuid":"dd3a306e-2021-e181-3444-4b4270bd33ea"},null],"func":"loadNewRoots"};49 ms
1430139661912 - info: 2015-04-27T13:01:01.912Z;deserialize;15 ms
1430139661920 - info: 2015-04-27T13:01:01.919Z;serialize;6 ms
1430139661920 - info: 2015-04-27T13:01:01.844Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"2f4150bb-7691-a13d-ce0c-c7d4eaee5a36","aparams":[["b49d39c9-b903-cccd-7d32-b84beb1b76dc"],{"rtype":"data","expr":1,"subDbGuid":"dd3a306e-2021-e181-3444-4b4270bd33ea"},null],"func":"loadNewRoots"};76 ms
1430139661928 - info: 2015-04-27T13:01:01.928Z;deserialize;2 ms
1430139661930 - info: 2015-04-27T13:01:01.930Z;serialize;1 ms
1430139661931 - info: 2015-04-27T13:01:01.844Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"2f4150bb-7691-a13d-ce0c-c7d4eaee5a36","aparams":[["8583ee1d-6936-19da-5ef0-9025fb7d1d8d"],{"rtype":"data","expr":1,"subDbGuid":"dd3a306e-2021-e181-3444-4b4270bd33ea"},null],"func":"loadNewRoots"};87 ms
1430139661943 - info: 2015-04-27T13:01:01.942Z;sendDelta;1 ms
1430139661944 - info: 2015-04-27T13:01:01.944Z;sendDelta;0 ms
1430139661952 - info: 2015-04-27T13:01:01.952Z;deserialize;1 ms
1430139661953 - info: 2015-04-27T13:01:01.953Z;serialize;1 ms
1430139661954 - info: 2015-04-27T13:01:01.942Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"2f4150bb-7691-a13d-ce0c-c7d4eaee5a36","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"dd3a306e-2021-e181-3444-4b4270bd33ea"},null],"func":"loadNewRoots"};12 ms
1430139661957 - info: 2015-04-27T13:01:01.957Z;deserialize;2 ms
1430139661958 - info: 2015-04-27T13:01:01.958Z;serialize;1 ms
1430139661958 - info: 2015-04-27T13:01:01.942Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"2f4150bb-7691-a13d-ce0c-c7d4eaee5a36","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"dd3a306e-2021-e181-3444-4b4270bd33ea"},null],"func":"loadNewRoots"};16 ms
1430139662203 - info: 2015-04-27T13:01:02.203Z;sendDelta;0 ms
1430139662204 - info: 2015-04-27T13:01:02.204Z;sendDelta;0 ms
1430139662213 - info: 2015-04-27T13:01:02.213Z;deserialize;2 ms
1430139662214 - info: 2015-04-27T13:01:02.214Z;serialize;0 ms
1430139662216 - info: 2015-04-27T13:01:02.205Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"2f4150bb-7691-a13d-ce0c-c7d4eaee5a36","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"dd3a306e-2021-e181-3444-4b4270bd33ea"},null],"func":"loadNewRoots"};11 ms
1430139662234 - info: 2015-04-27T13:01:02.234Z;sendDelta;0 ms
1430139662235 - info: 2015-04-27T13:01:02.235Z;sendDelta;0 ms
